id,bid,正文,日期,工具,点赞数,评论数,转发数,话题
4593000448005250,JD1mIxAwW,#讯影博物馆#  “腾妹书局”开始营业啦~最最最畅销的书已为泥萌安排上！康康这些充满故事感的封面，是不是有一种想要翻开它的冲动 已经偷偷翻阅过无数次的腾妹保证，每个人的故事都很精彩哦 泥萌最想翻开谁的书呢？易烊千玺超话 鹿晗超话 张若昀超话 吴佳怡超话 ,2021-01-13,微博 weibo.com,2369,141,50,讯影博物馆
4592981578090244,JD0ShxWDO,#讯影时刻# 每一次抢票，都是对手速和网速的极大考验，仿佛只有坐在路由器上，才能抢到寄几最想要的那张！ 一波灰常真实的抢票表情包贴心奉上，快来康康是不是泥萌抢票时的样子 泥萌有什么印象深刻的抢票经历嘛？可以给大噶分享下哦！易烊千玺 鹿晗 许凯 李沁 陈晓 吴倩,2021-01-13,微博 weibo.com,708,32,7,讯影时刻
4592863407773375,JCXNGwCd1,由#腾讯影业# 参与出品的合家欢#电影许愿神龙# 发布“愿望的诱惑”正片片段！粉萌神龙为完成许愿KPI套路满满，在丁思齐面前变出“一座金山”、“强大的军队”，却遭遇丁思齐大写的拒绝，令人对这场实现愿望的旅程充满好奇。#许愿神龙0115上映# 电影在票务平台点映开分高达9.1分，1月15日全国上映。 腾讯影业的微博视频,2021-01-13,微博视频,4,2,1,"腾讯影业,电影许愿神龙,许愿神龙0115上映"
4592619189174635,JCRrMCuJZ,#讯影博物馆# 生活中，总会有人以你知道或不知道的方式默默付出着，为平凡的生活带来温暖和感动 就像图中的Ta们，守护着自己的责任或所爱，用行动传递治愈力量 泥萌有没有被别人守护的经历呢？可以给大噶分享下那些暖心的故事哦！易烊千玺 李沁 张若昀 王子文 刘浩存,2021-01-12,微博 weibo.com,877,54,4,讯影博物馆
4592588990710141,JCQF52YJT,#0112大鹏生日快乐# 他是电影《受益人》中憨厚、矛盾的吴海，演绎小人物的故事，带来一场有笑有泪的感动。他是勇于挑战、不断突破的前行者，在逐梦的路上，用踏实且认真的付出，让我们看到他的诸多惊喜和无限可能！ 祝大鹏@大鹏董成鹏 生日快乐，愿他的笑容永远温暖如初，愿他的期望都会得偿所愿。,2021-01-12,微博 weibo.com,5,1,1,0112大鹏生日快乐
4592513513427161,JCOHlenyN,由#腾讯影业# 参与出品的#电视剧你是我的荣耀# 杀青互赠小礼物~玉兔捣药 手可摘棉花！于途@杨洋 、乔晶晶@Dear-迪丽热巴 （排名不分先后，按年龄排序）惊喜视频超甜奉上 你们的小巧思我们都懂#你是我的荣耀杀青# 腾讯影业的微博视频 ,2021-01-12,微博 weibo.com,3018,162,217,"腾讯影业,电视剧你是我的荣耀,你是我的荣耀杀青"
4592509487684891,JCOAQwfbR,#电视剧你是我的荣耀# 由#腾讯影业# 参与出品的电视剧#你是我的荣耀杀青# 110个日夜，携爱而来，如今杀青暂别，期待荣耀再会！关在@潘粤明 、玲姐@胡可 、翟亮@王彦霖 、于途@杨洋 、乔晶晶@Dear-迪丽热巴 、佩佩@郑合惠子 （排名不分先后，按年龄排序） 敬请期待！ ,2021-01-12,,754,96,75,"电视剧你是我的荣耀,腾讯影业,你是我的荣耀杀青"
4592275675420633,JCIvJmK9z,#讯影博物馆# 一组赏心悦目的高颜美图来袭！快来康康那些惊艳了岁月的衣香鬓影吧~每一份精致的背后都诠释了不同时代下的优雅和浪漫～泥萌被谁的衣香鬓影惊艳了呢？可以在评论区和大噶分享下哦！（欢迎多多投放美图）白鹿 李沁 吴佳怡 吴倩 蔡文静 刘浩存,2021-01-11,微博 weibo.com,1341,118,34,讯影博物馆
4592256801048635,JCI1i4oNt,#讯影时刻# 大风天气下的出行现状究竟是什么样？ 快快戳开这组图，一键感受狂风的力量 康康Ta们直面大风的样子，是不是像极了在风中挣扎前行的你~ 可以给腾妹分享下寄几当时的心情哦~Ps：记得要戴好围巾帽子，做好保暖措施！鹿晗 袁冰妍 张若昀 刘浩存,2021-01-11,微博 weibo.com,1278,96,22,讯影时刻
4591532021129147,JCpai4JK3,#讯影时刻# 当代社恐行为图鉴 快来康康泥萌中了几个？面对不熟悉的人会紧张、被cue到不知道说什么话题......泥萌是不是也有这样的经历？其实，不必过于纠结这种情绪，我们只要在社交中保持自己最舒适的状态就可以啦！ Ps：泥萌都是很棒的人哦！自信起来吧~鹿晗 张若昀 彭昱畅 吴倩,2021-01-09,微博 weibo.com,197,49,6,讯影时刻
4591173408132965,JCfPSy7KR,#讯影博物馆# 【讯哥小地盘】那些承载着无数人童年回忆的游戏，你们还记得嘛？看看这组图，是不是有一种爷青回的感觉！ 仿佛又回到了那段充满欢乐、无忧无虑的童年时光~你们最喜欢的童年游戏是什么呢？在评论区和大家分享下吧！（还将抽取两名幸运粉丝每人送出100Q币）许凯 白鹿 李沁 吴佳怡 凌美仕 抽奖详情,2021-01-08,微博 weibo.com,66,0,0,讯影博物馆
4591154539270184,JCflrCTB6,#夏若妍0108生日快乐# 她是不被定义、洒脱干练的“丁荟桥”，在追逐梦想中打破枷锁，诠释人生本色！她是生活中爽朗、热情的灵气女孩，用笑容释放魅力，用演技解锁惊喜 祝@夏若妍Nita 生日快乐，期待她在未来绽放更多妍色！ ,2021-01-08,微博 weibo.com,3,4,0,夏若妍0108生日快乐
4591111751866826,JCeer7PE6,#冯宝宝真人演员海选投票# 由@腾讯影业 @巨东影业 出品， 改编自@腾讯动漫 的顶级国漫IP《一人之下》的真人网剧版，冯宝宝一角的海选已经结束，恭喜50位选手进入第二轮网友投票环节！谁是你心中的冯宝宝？进入话题#异人冯宝宝前来报道# 页面点击头像即可查看选手作品。你的冯宝宝由你决定，快来投票吧！一键参与冯宝宝真人演员海选投票,2021-01-08,微博 weibo.com,0,1,0,"冯宝宝真人演员海选投票,异人冯宝宝前来报道"
4590826120285573,JC6NK1ci1,#讯影博物馆# 又到了考验眼力和手速的游戏时间，快来测测你的2021是什么颜色~ 随机截图，康康泥萌能截到哪一张！（偷偷透露下，每个颜色都有独特的寓意哦）希望我们的2021，有不一样的色彩，也有不同的美好和期待 对啦，别忘了把寄几的截图发在评论区哦~鹿晗 李沁 张若昀 袁冰妍 吴佳怡 吴倩 宋轶 刘浩存,2021-01-07,微博 weibo.com,1649,203,43,讯影博物馆
4590807250371930,JC6jj1yKS,#讯影时刻# 【腾妹来撩】平凡的生活总是需要一点治愈感，在失落或孤独的时候，给我们带来温暖和力量~泥萌在追剧时，有没有被某个温情瞬间治愈过呢？可以给大家分享下哦！本条微博还将在评论区抽取两名幸运粉丝，每人送出60Q币！  抽奖详情 ,2021-01-07,微博 weibo.com,23,224,4,讯影时刻
4590691513015620,JC3iDcEv2,由#腾讯影业# 参与出品的2021开年首选合家欢动画电影#许愿神龙# 发布终极预告！返璞归真从心出发~神龙陪伴男主角丁思齐重新找到女主角王俐娜，两人源自童年时期的友情十分动人，即使时移世易，仍然历久弥真！第二轮全国限时点映将在1月9日、1月10日早八点至晚十点开启！#许愿神龙0115上映# 腾讯影业的微博视频,2021-01-07,微博视频,4,3,1,"腾讯影业,许愿神龙,许愿神龙0115上映"
4590463732944844,JBXnfcm5u,#讯影博物馆# 新的一年，也要有新的计划和期待！翻开Ta们的手帐本，和腾妹一起康康Ta们的年度计划都有什么吧~不得不说，这手帐本的颜值还真是有些高哦！ 泥萌的年度计划有没有安排上？准备什么时候去实现呢？可以和大噶聊一聊哦！易烊千玺超话 李沁超话 张若昀超话 吴佳怡超话 ,2021-01-06,微博 weibo.com,1105,111,52,讯影博物馆
4590444858322036,JBWSNyUWo,#讯影时刻# 忙碌的日子里，总要给大脑放放假！康康这些思绪放飞的发呆瞬间（非静止画面），憨憨中还带着亿点可爱，好想知道Ta们内心都在想什么哦 泥萌在发呆时都会想些什么呢？可以发在评论区，让腾妹看看寄几猜的对不对 易烊千玺 许凯 彭于晏 吴佳怡 陈晓 吴倩,2021-01-06,微博 weibo.com,914,78,28,讯影时刻
4590101345340247,JBNWKmpf1,#讯影博物馆# 气氛组的作用究竟有多大？ 既能加油打call，无比捧场，又可hold住全场，营造欢乐氛围~这样滴气氛担当，腾妹好想为Ta们打个满分！ 泥萌在现实生活中有木有充当气氛担当的时刻呢？可以把你的故事展开说说哦！易烊千玺 曾舜晞 许凯 吴倩 王子文,2021-01-05,微博 weibo.com,4987,190,65,讯影博物馆
4590082469671879,JBNsiEA63,#讯影时刻# 康康这些偷偷使坏的可爱瞬间，是否暴露了Ta们的小心思呢？ 其实Ta们能有什么坏心眼？只不过是太可爱（皮）了而已！泥萌被谁的小表情、小动作萌到了？快来和大噶说说吧！易烊千玺超话 鹿晗超话 曾舜晞超话 许凯超话 吴佳怡超话 陈晓超话 宋轶超话 ,2021-01-05,微博 weibo.com,92,30,14,讯影时刻
4589746498308497,JBEIpyRq1,#讯影博物馆# 当一个女生有了喜欢的人之后，心情也会慢慢发生改变......这组对比图有木有很真实呢？（感觉这就是寄几的请举手！）泥萌在现实生活中，会因为喜欢一个人而发生什么改变呀？可以把寄几的经历和大噶分享下哦！李沁超话袁冰妍超话吴佳怡超话   ,2021-01-04,,5047,223,55,讯影博物馆
4589722598644166,JBE5RAgK2,#讯影时刻# 2020的各大年度账单都已成功送达，看完账单后的泥萌还好吗？ 是不是心情灰常复杂，想不到寄几竟然能花辣么多！ 泥萌看完年度账单后的第一反应是什么呢？可以和大噶分享下当时的心情哦！许凯 李沁 袁冰妍 张若昀 吴佳怡 陈晓,2021-01-04,微博 weibo.com,8405,494,129,讯影时刻
4588995311567922,JBlaP6zT4,#讯影时刻# 快来看看以前的父母vs现在的父母 生活方式的变化，画风可是灰常可爱有趣呢～泥萌更喜欢哪种风格的父母呢？可以结合寄几的体会说说哦！鹿晗超话 许凯超话 白鹿超话 袁冰妍超话 吴佳怡超话 宋伊人超话 ,2021-01-02,微博 weibo.com,2087,203,77,讯影时刻
4588650535588711,JBccJnrSv,#讯影博物馆# 2021年的第一天，Ta们带着自己的新年flag来啦~ 点击图片，和腾妹一起康康Ta们的新年目标都是什么吧！泥萌的新年flag有木有安排上呀？可以打开自己的对话框，输入“我要变的”，康康输入法会给你一个什么样的flag吧！鹿晗超话 许凯超话 李沁超话 吴倩超话 ,2021-01-01,微博 weibo.com,21,12,3,讯影博物馆
4588649372457294,JBcaRajfM,#成龙又偷吃蛋糕# 由#腾讯影业# 参与出品的合家欢动画#电影许愿神龙# 在京举办点映活动，成龙、牛骏峰、薇薇和观众面对面交流。现场成龙还为一名小观众补过生日，送上神龙蛋糕，并带领全场观众为他唱《生日快乐歌》，暖心又治愈！大合影的时候，成龙大哥又偷吃了一口蛋糕，可爱极了！一口一杯芝芝桃的微博视频,2021-01-01,,2,1,0,"成龙又偷吃蛋糕,腾讯影业,电影许愿神龙"
4588636694121885,JBbQphii1,#讯影博物馆# 【讯哥小地盘】影视剧中那些唯美且自带技能点的道具，已成功被讯哥捕捉到Ta们的身影！ 集精致外观与实用性于一身，讯哥表示入手不亏！ 你们最想拥有谁的道具啊？说说自己的想法，在评论区留言互动吧！（还将有两名幸运粉丝每人获得100Q币哦） 鹿晗许凯袁冰妍吴倩凌美仕 抽奖详情,2021-01-01,微博 weibo.com,112,79,5,讯影博物馆
4588499544050597,JB8hcgZKd,新年伊始，万象更新。腾妹在2021年的第一天，祝大家新年快乐！ 在过去的2020年，与行业共同经历了175天的“候场期”后，我们与光影重逢。这是充满未知和期待的一年，也是我们追光前行、步履不停的一年。回首这一年，我们首先要感谢：感谢过去一年中发生的动人事迹，让我们更加懂得爱与珍惜；感谢在困境中获得的勇气和乐观，让我们越发坚定和从容；感谢所有行业伙伴和观众朋友的支持和陪伴，让我们能够一直笃定前行。每一个新年都寓意着新的更迭。在全新的2021年，我们将满载着温暖和希望，担当着信念和责任，携手观众和伙伴们，打造更多“丰富生活、温暖人心、感动人性”的优秀作品，与大家相聚光影中，带来新希望。 腾讯影业的微博视频,2021-01-01,微博 weibo.com,6,1,1,
4588287177531145,JB2KFvBc5,#讯影博物馆# 当影视剧中的那些名场面遇上不同的bgm，会产生什么样的效果呢？ 快快点击视频，和腾妹一起感受下Ta们的适配度吧~恰到好处的氛围配上旋律正好的bgm，这波适配度针不戳！泥萌心中还有木有适配度超高的名场面和bgm啊？也可以给大噶安利下哦！鹿晗许凯凌美仕张榕容 腾讯影业的微博视频,2020-12-31,,7,7,5,讯影博物馆
4588274306520365,JB2pUrmfb,#讯影时刻# 【腾妹来撩】影视剧中，总会有那么一些虐心、感动或者震撼的片段戳中我们的泪点，每次看到甚至想到都会瞬间泪目.......在泥萌心中，有没有这样让人印象深刻的催泪瞬间呢？可以敲在评论区和大家一起讨论哦！本条微博，还将在评论里抽取两名幸运粉丝每人送出60Q币！快来一起互动吧~  抽奖详情,2020-12-31,微博 weibo.com,19,143,8,讯影时刻
4588202197788531,JB0xBwG9t,#新年的第一个愿望# 由#腾讯影业# 参与出品的2021转运电影 #电影许愿神龙# 发布魔性跨年许愿预告片！新年许下新心愿~粉萌神龙带来好运连击 电影1月15日正式上映，元旦点映特惠预售已开启，和家人一起在电影院跟着神龙一起念“我希望……”，所有愿望全部实现！《许愿神龙》曝魔性跨年许愿预告片 元旦点映送开年好运 ,2020-12-31,,1,0,1,"新年的第一个愿望,腾讯影业,电影许愿神龙"
4587908146659921,JASTkrWy5,#讯影博物馆# 一波好运福袋从天而降啦~带着满满滴好运，为泥萌加“亿”点点福气！学业、事业、爱情......通通都给安排上！！快快收下这些好运福袋，等待无限福气惊喜降临吧~泥萌最想收到什么福袋呀？可以把它好好珍藏起来哦！ 张若昀超话 许凯超话 陈晓超话 吴佳怡超话 ,2020-12-30,微博 weibo.com,1621,180,77,讯影博物馆
4587855298441107,JARw5zpUT,#尹正1230生日快乐# 他是电影《飞驰人生》中热血、固执的孙宇强，为我们演绎那段光辉岁月里关于友情、梦想的励志故事。他是勇于突破自我的优质演员，挑战百变角色，成就无限可能 在演员这条路上，每一步，他都走的踏实且认真，在付出与成长中，点亮未来期望。祝@尹正 生日快乐 愿属于他的星途永远散发光芒~,2020-12-30,微博 weibo.com,26,12,2,尹正1230生日快乐
4587564630021895,JAJXh05H9,#讯影博物馆# 当我们在职场中得到认可、有所收获时，也会感觉自己的价值得到了肯定，就像得到“小红花”一样，开心、激动！康康下面这组图，是不是隔着屏幕也能体会到这种感觉呢~泥萌在工作中有没有成功或者进步的高光瞬间呀！可以把寄几的经历和大噶分享下哦～鹿晗 陈晓 吴倩 贾青,2020-12-29,微博 weibo.com,126,12,1,讯影博物馆
4587548271708627,JAJwT7auv,#讯影时刻# 如果用一个词来总结自己的2020，泥萌会选择什么词呢？先来和腾妹一起康康Ta们的答案吧！ 有意外、有感恩、有收获、有泪水......这是Ta们2020年的关键词，也是我们在这一年生活中的真实体验。泥萌的年度关键词还有什么呢？来给大噶说说吧～ 黄景瑜 许凯 李沁 彭昱畅 陈飞宇 王子文,2020-12-29,微博 weibo.com,1124,158,31,讯影时刻
4587185883583832,JAA6of2jK,#讯影时刻# 一波晚安表情包已生成，请大噶及时接收并码住收藏！晚安的多重打开方式，搞笑又兼具实用性，适用于任何关于晚安的聊天场景哦（快快存起来！）泥萌最想收到谁的晚安呀？来和腾妹说说吧~  许凯超话 郭麒麟超话 白鹿超话 李沁超话 彭昱畅超话 吴倩超话 ,2020-12-28,微博 weibo.com,829,102,5,讯影时刻
4587061007093839,JAwQYtLqL,#气运联盟献唱许愿神龙# 由#腾讯影业# 参与出品的#电影许愿神龙# 惊喜上线新晋乐团气运联盟献唱的宣传推广曲《行运一条龙》MV！粉萌神龙逗趣可爱，一出现就把人拉入到喜气洋洋的新年氛围中~影片将在1月15日全国上映，元旦点映特惠预售中，和家人朋友一起见龙有喜，好运成双！#许愿神龙0115上映#好运成双！《许愿神龙》曝气运联盟推广曲《行运一条龙》,2020-12-28,,3,2,2,"气运联盟献唱许愿神龙,腾讯影业,电影许愿神龙,许愿神龙0115上映"
4586715304434413,JAnRoiBAN,由@腾讯影业 @巨东影业 出品，@优酷 独播， 改编自@腾讯动漫 的顶级国漫IP《一人之下》冯宝宝真人演员招募选角活动正在火热进行中，作者米二@米老2 对此表示真心的祝福和期待。点进#异人冯宝宝前来报道# 话题页面，查看置顶微博就能get海选方式快来投稿吧！#网剧一人之下# 腾讯影业的微博视频 ,2020-12-27,微博 weibo.com,5,2,0,"异人冯宝宝前来报道,网剧一人之下"
4586352903457559,JAeqSevt5,#吴磊1226生日快乐#  他是《穿越火线》中热血、坚强的路小北，演绎角色故事，诠释梦想含义。他是生活中清爽、干净的阳光少年，用笑容与真挚传递青春能量，绽放耀眼光芒。他在追逐中成长，在时光中写下属于自己的关键词，温暖、执着、勇敢......祝@吴磊LEO 生日快乐，愿所有的美好一直与他同行。,2020-12-26,微博 weibo.com,3751,1189,2172,吴磊1226生日快乐
4586322700535467,JAdEa2fiz,#霍建华1226生日快乐#  他是电影《大约在冬季》中温润深情的齐啸，在那个冬日留下属于他的温暖与感动。他是塑造了无数经典角色的优质演员，不断尝试，不断突破，在荧幕上尽情释放魅力，用演技和实力证明自己，带给观众越来越多的惊喜。祝#霍建华# 生日快乐，愿属于他的星光之路始终闪耀，永远璀璨。,2020-12-26,霍建华1226生日快乐超话,92,40,25,"霍建华1226生日快乐,霍建华"
