topic,likes,comments,reposts,count,type,type-detail
00后最流行的表白词是吹晚风,125,39,3,1,社会热点,
0112大鹏生日快乐,5,1,1,1,娱乐,明星
1022-比尔的歌,1603,178,26,2,,
10岁女孩卖百香果遭奸杀案现新证词,5,6,3,1,社会热点,时事新闻
10岁患癌男孩试图拔输液管放弃治疗,2,0,0,1,社会热点,时事新闻
1104梦-比尔的歌,0,0,0,1,,
110警察节,4664,585,1218,3,社会热点,
1226孟瑞生日快乐,154,88,64,1,娱乐,明星
12月鹅要晒单,37,17,1,1,,
12至14周岁未成年人故意杀人等犯罪要负刑责,10,1,2,1,社会热点,时事新闻
14种独家药品平均降价超四成,1,0,0,1,社会热点,时事新闻
15小时全球日出直播,223,348,142,3,,
180秒定格2020我们见证的全球时刻,1,1,1,1,,
19371213,20,6,2,1,,
1月16日北京市小学放寒假,1,1,1,1,社会热点,
1月鹅要晒单,99,133,4,1,,
2020,1932316,75115,228154,1,,
2020 Techo Park开发者大会,6,17,555,1,,
2020 无畏前行,93,31,22,1,,
2020KPL秋季赛,966,199,57,2,游戏电竞,
2020KPL秋季赛总决赛,961,194,55,16,游戏电竞,
2020K甲秋季赛,1,1,0,1,,
2020LPL全明星,34,21,7,2,,
2020doki人气舞台,352337,15418,12498,104,,
2020kpl秋季赛,10,13,0,2,游戏电竞,
2020k甲秋季赛,1,1,0,1,,
2020人间值得图鉴,22,75,83,1,,
2020你学会了什么,87,108,2176,1,,
2020你最大的遗憾,22,75,83,1,,
2020你最想留住什么,19,49,46,1,,
2020全球最帅最美面孔,41,8,1,1,娱乐,明星
2020全球最美100人,7,2,3,1,,
2020去死,7,1,5,1,,
2020去死预告,4,1,4,2,,
2020双子座流星雨,8,9,1,1,,
2020可爱瞬间,350,121,239,1,,
2020和平精英全球总决赛,8,23,2,1,,
2020国剧盛典,3378,302,72,1,娱乐,晚会
2020国剧盛典阵容,14,4,1,1,娱乐,晚会
2020国家医保药品目录发布,1,0,0,1,,
2020奔跑瞬间盘点,329,134,252,1,,
2020年12月19日广东省新冠肺炎疫情情况,3,10,0,1,社会热点,疫情
2020年QQ飞车手游亚洲杯,175,183,214,1,游戏电竞,
2020年你都去哪了？,1,1,0,1,,
2020年佳片,3,0,1,1,,
2020年只剩10天,6159,1211,1062,1,,
2020年度催泪瞬间,448,83,252,1,,
2020年度十大喷饭现场,9,34,0,1,,
2020年度十大魔音穿耳,23,30,1,1,,
2020年度听歌报告,127,285,267,2,,
2020年度声音盘点,352,126,250,1,,
2020年度电影混剪,9,2,2,2,娱乐,影视
2020年度票房突破200亿,8,1,1,1,,
2020年度笑容盘点,377,137,254,1,,
2020年度英超MVP,4,0,128,1,体育,
2020年度记忆,5157,1879,3246,14,,
2020年最后2天,2,0,0,1,,
2020年最后一次许愿,0,0,0,1,,
2020年最火翻唱,306,1226,151,1,,
2020年最让人感动的瞬间,487,144,255,1,,
2020年的北漂,372,72,49,16,,
2020年终小甜剧百岁之好,47,10,1,1,,
2020年还剩半个月,1818,333,9,1,,
2020年那些难忘的笑容,377,137,254,1,,
2020微信年度账单,137,167,17,1,,
2020微信年度账单上线,7,10,0,2,,
2020德杯,2924,470,184,47,体育,
2020德杯决赛,24,8,2,1,体育,
2020德玛西亚,69,11,13,1,体育,
2020意甲年终盘点,1,0,0,1,体育,
2020感动瞬间,510,191,260,1,,
2020搜狐时尚盛典,1973,282,24,2,娱乐,晚会
2020星光大赏太有排面了,216619,2275,2153,1,娱乐,晚会
2020星光瞬间,1067311,25841,111243,53,娱乐,晚会
2020星辰大海纪实短片,2703,235,55,1,,
2020暖心瞬间,329,119,243,1,,
2020最不想删的一张照片,9180,757,21,1,,
2020最不想删的照片,651,115,1,1,,
2020最后1天,218,106,849,1,,
2020最后2天,409,155,267,4,,
2020最后3天,21,16,2,2,,
2020最后一个情人节,3099,99,11,1,,
2020最后一天,3903,775,27778,8,,
2020最后一条微博,22,75,83,1,,
2020最后一部爱情片,100,19,8,1,,
2020最后一顿吃什么,0,13,0,1,,
2020最想删除的糟心事,42,22,1,1,,
2020最温暖的相遇,329,119,243,1,,
2020最美的夜,78,13,9,3,,
2020最美的夜跨年节目单,5,1,1,1,娱乐,跨年相关
2020最美的夜首波阵容,8,2,1,1,,
2020有你真好,162,9,18,2,,
2020欧冠16强抽签,0,2,0,1,,
2020汉语盘点,7,3,1,1,,
2020游戏盘点总结,3,0,0,1,,
2020献礼片混剪,6,5,1,1,,
2020王者荣耀冬冠,1788,302,81,30,,
2020电影频道M榜直播,2649,175,724,2,娱乐,影视
2020的最后一天,0,0,0,1,,
2020真是从头哭到尾,461,112,209,1,,
2020腾讯视频电影年终大赏,112,35,27,6,娱乐,影视
2020跨年夜,3,1,0,2,娱乐,跨年相关
2020还剩2天,17,27,0,1,,
2020还有11天,30,1,0,1,,
2020追梦的“后浪”,3,0,0,1,,
2020那些难忘的拥抱瞬间,4,24,0,1,,
2020鹅剧回顾,89805,2571,15741,3,,
2020鹅家观影报告,126,47,14,2,,
2020，与世界共振,2,1,0,1,,
2021,1157944,65717,129185,6,,
2021 送你一朵小红花,262,17,753,1,娱乐,影视
2021CFPL,75,40,15,2,,
2021LCK,52,36,4,2,,
2021LPL,5985,819,541,68,,
2021LPL开赛时间,81,33,12,3,,
2021LPL春季赛,77,32,15,1,,
2021lpl春季赛,31,15,4,1,,
2021一起追光,2982,1117,364,18,,
2021世俱杯赛程公布,1,0,0,1,,
2021也要加油,374,74,10,1,,
2021今天中午吃什么,18,49,43,1,,
2021元旦假期票房12.82亿,23,4,2,1,,
2021全球总决赛,730,162,67,3,,
2021凯叔魔幻童话之夜,35,15,37,2,,
2021加油打工人,1512,176,95,1,,
2021在看点,10,6,0,1,,
2021央视春晚彩排,827,223,91,6,娱乐,晚会
2021年央视春晚logo,113417,2503,261,2,娱乐,晚会
2021年新年宝宝诞生,8,2,1,1,,
2021年春晚logo,31,16,0,1,娱乐,晚会
2021年最想实现的愿望,136,28,6,1,,
2021年武汉新年宝宝降生,63,7,4,1,,
2021年的第一个工作日,727,268,67,4,,
2021年的第一场烟火,1,1,1,1,,
2021年的第一天,948,198,5,3,,
2021年的第二天,283,150,26,2,,
2021年第一条微博,87,31,56,3,,
2021幸运色,28,7,0,2,,
2021开年锦鲤,104,64,88,2,,
2021心愿接力,1,14,0,1,,
2021我的新年flag,0,0,0,1,,
2021战疫,2,1,0,1,,
2021放假日历,226,82,21,1,,
2021新年贺词,33,43,35,1,,
2021来都来了,4,2,2,1,,
2021步履不停 未来可期,79,14,2,1,,
2021武汉第一位新生儿出生,63,7,4,1,,
2021研考报考人数377万,3,0,0,1,,
2021立下你的旗,0,0,0,1,,
2021第一顿饭的仪式感,183,75,2,1,,
2021腾讯艺术跨年音乐会,38,13,2,1,娱乐,跨年相关
2021跨年文案,124,297,349,1,社会热点,跨年相关
2021送你一朵小红花,16829,3050,28288,26,娱乐,影视
2021首个寒潮预警,18,34,1,1,,
2021首场流星雨,1549,185,17,1,,
2021，你“灰黄”了吗？,8,5,2,2,,
2023年中超扩军至18队,5,7,2,1,,
2035是这young,266236,4556,41719,4,,
24岁小伙滑雪坠亡母亲发声,1,1,0,1,,
27岁时尚博主飞机上心脏骤停离世,2,1,1,1,,
2K0,19,4,3,1,,
300部网文启动漫改,139,82,70,3,,
30vs60,2263,523,1047,11,体育,
30秒安利爱豆计划,29,21,2,1,娱乐,
31名球员被中国足协终身禁赛,2,3,0,1,体育,
31省区市新增103例确诊,1,1,0,1,社会热点,疫情
