用户id,昵称,性别,生日,所在地,微博数,粉丝数,关注数,简介,主页,头像,高清头像,微博等级,会员等级,是否认证,认证类型,认证信息
1846456085,腾讯公司,m,,北京,1229,825597,198,腾讯公司官方微博,https://m.weibo.cn/u/1846456085?uid=1846456085&luicode=10000011&lfid=1005051846456085,"https://tvax1.sinaimg.cn/crop.0.0.640.640.180/6e0eaf15ly8gdis0rqdpbj20hs0hs0tx.jpg?KID=imgbed,tva&Expires=1610532024&ssig=dBPtOoKkiq",https://wx1.sinaimg.cn/orj480/6e0eaf15ly8gdis0rqdpbj20hs0hs0tx.jpg,31,6,TRUE,2,腾讯公司官方微博
2591595652,腾讯视频,m,,广东,98542,14529401,3202,腾讯视频（v.qq.com）定位于中国领先的综合视频门户，内容以电影、电视剧、综艺为主，同时发力诸多维度频道运营，最大限度贴合用户在线视频观看需要。,https://m.weibo.cn/u/2591595652?uid=2591595652&luicode=10000011&lfid=1005052591595652,"https://tvax4.sinaimg.cn/crop.0.0.996.996.180/9a789c84ly8gdiofqyuh7j20ro0roaaf.jpg?KID=imgbed,tva&Expires=1610532029&ssig=qLR28g8fHH",https://wx4.sinaimg.cn/orj480/9a789c84ly8gdiofqyuh7j20ro0roaaf.jpg,48,7,TRUE,3,腾讯视频官方微博
1930378853,腾讯微信团队,m,,广东 广州,1214,576422,45,"微信四个官方网站的地址如下：
微信官网 weixin.qq.com
微信网页版 wx.qq.com
微信公众平台 mp.weixin.qq.com
微信开放平台 open.weixin.qq.com",https://m.weibo.cn/u/1930378853?uid=1930378853&luicode=10000011&lfid=1005051930378853,"https://tvax1.sinaimg.cn/crop.77.83.436.436.180/730f3e65ly8gdj2amjzt0j20gf0gfmxg.jpg?KID=imgbed,tva&Expires=1610564944&ssig=tijRgWmxYe",https://wx1.sinaimg.cn/orj480/730f3e65ly8gdj2amjzt0j20gf0gfmxg.jpg,16,6,TRUE,2,腾讯微信官方微博
3758512144,腾讯综艺,m,,北京,40977,4191025,1717,腾讯视频综艺频道官方微博！,https://m.weibo.cn/u/3758512144?uid=3758512144&luicode=10000011&lfid=1005053758512144,"https://tvax1.sinaimg.cn/crop.28.78.642.642.180/e0065810ly8gg5hake5j6j20kj0k1ta3.jpg?KID=imgbed,tva&Expires=1610564965&ssig=v6zOapiwcG",https://wx1.sinaimg.cn/orj480/e0065810ly8gg5hake5j6j20kj0k1ta3.jpg,48,6,TRUE,3,腾讯视频综艺频道官方微博
6479255096,腾讯微视,f,,广东,14797,1842358,1388,,https://m.weibo.cn/u/6479255096?uid=6479255096&luicode=10000011&lfid=1005056479255096,"https://tvax3.sinaimg.cn/crop.0.0.582.582.180/0074uiesly8giev6yau9hj30g60g6gm9.jpg?KID=imgbed,tva&Expires=1610565540&ssig=1QenTGdWPh",https://wx3.sinaimg.cn/orj480/0074uiesly8giev6yau9hj30g60g6gm9.jpg,29,6,TRUE,2,腾讯微视APP官方微博
3752699924,腾讯电视剧,f,,北京,25721,1659629,600,你想看的电视剧资讯都在这里哦！,https://m.weibo.cn/u/3752699924?uid=3752699924&luicode=10000011&lfid=1005053752699924,"https://tvax4.sinaimg.cn/crop.0.0.1080.1080.180/dfada814ly8gh4c4byzd3j20u00u0mz1.jpg?KID=imgbed,tva&Expires=1610566387&ssig=SEGbJgcF09",https://wx4.sinaimg.cn/orj480/dfada814ly8gh4c4byzd3j20u00u0mz1.jpg,48,7,TRUE,3,腾讯视频电视剧频道官方微博
1763084680,腾讯新闻出品,m,,北京,8098,600345,317,今天也想跟大家一起玩！,https://m.weibo.cn/u/1763084680?uid=1763084680&luicode=10000011&lfid=1005051763084680,"https://tvax4.sinaimg.cn/crop.0.0.512.512.180/69168988ly8gdihjfoyk2j20e80e8wep.jpg?KID=imgbed,tva&Expires=1610566849&ssig=cZWkkYCPoe",https://wx4.sinaimg.cn/orj480/69168988ly8gdihjfoyk2j20e80e8wep.jpg,38,6,TRUE,2,腾讯新闻出品
5203786516,腾讯动漫,m,,北京,15783,1221702,877,这里是企鹅娘，专注ACG各种资讯，还可以来这些地方找我玩哦~【APP下载】http://m.ac.qq.com/event/downloadForPc/index.html【漫画站】ac.qq.com 【资讯站】comic.qq.com,https://m.weibo.cn/u/5203786516?uid=5203786516&luicode=10000011&lfid=1005055203786516,"https://tvax1.sinaimg.cn/crop.0.0.751.751.180/005GayAAly8gdiawmm3pej30kv0kvq3x.jpg?KID=imgbed,tva&Expires=1610566860&ssig=uE7I7Wjnj3",https://wx1.sinaimg.cn/orj480/005GayAAly8gdiawmm3pej30kv0kvq3x.jpg,46,6,TRUE,2,腾讯科技(北京)有限公司
2806170583,腾讯新闻,m,,北京,19531,662430,406,一个喜欢到处聊天的官号。,https://m.weibo.cn/u/2806170583?uid=2806170583&luicode=10000011&lfid=1005052806170583,"https://tvax1.sinaimg.cn/crop.0.0.159.159.180/a742c3d7ly8gdiz0knv6oj204g04gdg8.jpg?KID=imgbed,tva&Expires=1610566891&ssig=TaJIP6gP5g",https://wx1.sinaimg.cn/orj480/a742c3d7ly8gdiz0knv6oj204g04gdg8.jpg,39,0,TRUE,2,腾讯新闻官方账号
6426064539,腾讯视频娱乐,f,,北京,14538,724004,785,腾讯视频娱乐频道官方微博,https://m.weibo.cn/u/6426064539?uid=6426064539&luicode=10000011&lfid=1005056426064539,"https://tvax4.sinaimg.cn/crop.0.0.1080.1080.180/0070T6Wfly8gg7sr7ivs1j30u00u0wh8.jpg?KID=imgbed,tva&Expires=1610567500&ssig=pgVBZc5Z2J",https://wx4.sinaimg.cn/orj480/0070T6Wfly8gg7sr7ivs1j30u00u0wh8.jpg,28,6,TRUE,3,腾讯视频娱乐官方微博
