id,bid,正文,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4592556380526290,JCPOu2cUy,#30vs60# 二十年前章小蕙说“饭可以不吃，衫不可以不买”，如今她对所有女性说，“只有你的学识才是最重要的”。我们把一代名媛章小蕙和深夜发媸徐妍拉在一起，看两位时尚博主带来什么货。#谷雨影像# #洞见计划##女网红怕过气10分钟发一次状态#57岁传奇名媛章小蕙对话90后博主，点赞拼单名媛，看破富贵场 ,,,2021-01-12,微博 weibo.com,0,0,0,"30vs60,谷雨影像,洞见计划,女网红怕过气10分钟发一次状态",
4592505948209425,JCOv8yrE5,这是一群主动向理想生活进发的社会中坚人群，他们有一个共同的代称：“脱北者联盟”，他们理性客观，不再只看到大城市提供的机遇和物质，而选择离开北上广，为小家好、为内心自洽。离开大城市回归家乡的生活有何变化？一场视频通话的内容令人深思。#我的回应 我们的回响# 腾讯新闻出品的微博视频 ,,,2021-01-12,微博 weibo.com,0,0,1,我的回应 我们的回响,
4592498394269857,JCOiXhUMF,随着第一批90后迈入30岁，而立之年的年轻人到了一个人生拐点：大城市有梦想有熟悉的人和事，但孤独。回家发展压力降低有亲人陪伴，但曾经熟悉的生活方式都将消失......而立之年该做何选择？纪录片《回响》第4集：三十而立的选择热播中。#我的回应 我们的回响# ,,,2021-01-12,微博 weibo.com,1,0,0,我的回应 我们的回响,
4592143560347827,JCF4E1su7,#过去一年有多少人漂不动了#在外打拼的年轻人，哪一刻最思念父母？有人说是想念母亲厨艺是时候，其实他们最想念你的时候也是在餐桌上，妈妈做了一桌大餐，却突然想到在外漂泊的你可能在吃着冷冰冰的外卖，那种心情或许只有为人父母才能体会。#我的回应 我们的回响# 腾讯新闻出品的微博视频 ,,,2021-01-11,微博 weibo.com,2,0,1,"过去一年有多少人漂不动了,我的回应 我们的回响",
4592136005619826,JCESsnzYm,#过去一年有多少人漂不动了#大城市是年轻人追梦的地方，更多的工作机会，更高的工资，更多更有趣的娱乐......但这些对于30多岁的年轻人似乎变的没有那么重要，他们开始思考如何生活、如何陪伴爱的人。你会为了回家陪伴父母而离开曾奋斗过的大城市吗？#我的回应 我们的回响# 腾讯新闻出品的微博视频 ,,,2021-01-11,微博 weibo.com,2,0,1,"过去一年有多少人漂不动了,我的回应 我们的回响",
4589969227652699,JBKvEw6OD,替父亲“打工”是怎样的体验？厂三代屠新业便是“替父打工”的一员。七年前海外留学归来的他正式回归父亲的牙刷厂，并没有影视剧中“继承家业”的桥段，他花了3年时间，从一线的植毛工到检修工，再到生产调度，最终接任了家族企业的第三任厂长。作为第三代厂长面对2020年的艰难市场环境，他做了一件大胆的事情：把89岁的爷爷以及父亲，一起拉到直播间卖货……#我的回应 我们的回响# 腾讯新闻出品的微博视频,,,2021-01-05,微博 weibo.com,3,2,0,我的回应 我们的回响,
4589961679208998,JBKjtCDGe,2020年，你在直播间里消费过吗？是否也是手速极快的“1秒剁手党”？是否也曾好奇这个行业真的利润极高动辄销售过亿吗？纪录片《回响》第3集：向下扎根的电商主播，带你了解光环之外，多数电商主播的真实故事。#我的回应 我们的回响# ,,,2021-01-05,微博 weibo.com,0,0,0,我的回应 我们的回响,
4589606839792050,JBB59F5mi,#不敢休息的带货主播# 武汉姑娘晁然因为做电商直播，已经很久没有回过家了，日常只能通过视频和家人互动。最近的某天她试探着问妈妈如果过年做直播不回家行不行？妈妈沉默不语，过了会突然离开说要给晁然看一个东西，她拿出了一罐定制可乐，上面印着晁然的名字，而另一面印着四个字：欢迎回家……#我的回应 我们的回响# 腾讯新闻出品的微博视频,,,2021-01-04,微博 weibo.com,8,0,0,"不敢休息的带货主播,我的回应 我们的回响",
4589599291348110,JBASZ5EHI,有这么一群人，他们是“007”的代表。一周7天不眠不休，可能有些夸张，但无论何时只要你愿意，就能在屏幕中看到他们的身影，他们就是电商主播。人们总是关注着这个职业的光鲜和高收入，却鲜有人发现，他们都是#不敢休息的带货主播#。#我的回应 我们的回响# 腾讯新闻出品的微博视频 ,,,2021-01-04,微博 weibo.com,3,0,0,"不敢休息的带货主播,我的回应 我们的回响",
4587432534351173,JAGwdifWd,破局中的职场人：他曾是某互联网大厂的主编，2020年放弃百万年薪的工作转身学厨师，每天6点起床去新东方上课，面对镜头他露出真心笑容，坦言：现在的生活很有劲儿！如果你是他，会做出相同的选择吗？#我的回应 我们的回响# 腾讯新闻出品的微博视频 ,,,2020-12-29,微博 weibo.com,3,38,27,我的回应 我们的回响,
4587069794161473,JAx59hsAx,#做996的小孩有多难#年薪百万的职场女强人如何工作？到家永远在午夜之后，下属也曾因压力而选择离职。然而无论是多么“狠”的职场人，回到家面对孩子却难掩温柔，996的职场妈妈最大的愿望竟是能有一天的时间完全抛开工作陪伴孩子。#我的回应 我们的回响#  腾讯新闻出品的微博视频 ,,,2020-12-28,微博视频,8,1,1,"做996的小孩有多难,我的回应 我们的回响",
